walletAddress,userPoint,userLevel,userLevelPosition,userLevelRange,userPosition
0x39f4da389fef57165bd470eb422c755e271f785b,254300.9355043135,Diamond 💎,5,5,1
0x2dd9ad9bb61a7e06fa0b2c7b0f89904e586f6e82,232464.52332966763,Diamond 💎,4.94,5,2
0x688276dcc72bb758dd5996ebdd47999ac9f44cd7,211923.5909510801,Diamond 💎,4.88,5,3
0x88fc2e37012fa5b3a4d536f51cc5bdc0bf8bb633,211697.48632449235,Diamond 💎,4.82,5,4
0x276cfb19281347a1740fe75649656a1597d710fc,110552.3478386018,Diamond 💎,4.76,5,5
0x301233376b5dfdb9985c4ae3d85194f848b10ccb,110523.02974916813,Diamond 💎,4.7,5,6
0xc40cec36f2a8d22cda4f304b1ba188c6f49444ae,110508.97926222732,Diamond 💎,4.64,5,7
0xb21cf2ba6aaf97c561ffb2acfd8dab128eecfa21,110507.61802369864,Diamond 💎,4.58,5,8
0xb3b4d148e256b76f24c232459169a1db75d8cb87,110504.28010341122,Diamond 💎,4.52,5,9
0xe02f484c886626e511e9e3c601aff638d401618c,110488.26892600318,Diamond 💎,4.46,5,10
0xb78fc9dc9476d8679b2eb11e2c660ed3d6a020db,110465.13167186799,Diamond 💎,4.41,5,11
0x8cc540fa4fdca1735219e44731bb8bb57379be29,110450.42683937542,Diamond 💎,4.35,5,12
0x982e645dc94083f18f9ec956f6d4645361538a84,110403.26007993013,Diamond 💎,4.29,5,13
0x32996a83e94b5a11316a703a2429c4026aea4b02,109245.30217493317,Diamond 💎,4.23,5,14
0x98f61420e193fed1543a786835032bc152f8717a,100062.80284594434,Diamond 💎,4.17,5,15
0x3f96109fe009be97e21bfbdc623bb40e7c76a2f7,100002.0964147324,Diamond 💎,4.11,5,16
0xa5f1fda4aad788b5c8b75edc99987bb03ab33592,99916.66962000521,Diamond 💎,4.05,5,17
0x3e9a6fd40ee68db283e80a8e7440418e9281633e,99876.35871658348,Diamond 💎,3.99,5,18
0x448f3f571afcb5eda691486b5febc2735ad5b239,99833.47270442863,Diamond 💎,3.93,5,19
0xa76d3f68b9943efdbb9302601bee8dc943b99506,99754.3594809423,Diamond 💎,3.87,5,20
0x56e31ae0f71f358d288f6f16878147fb46ddbcfd,99692.95943322727,Diamond 💎,3.81,5,21
0xfdf090788a65d4fd1299d29279c648bee1ecf77b,99643.71752082059,Diamond 💎,3.75,5,22
0x8883f0d926235d23df0cb15edb883d611761d617,99591.57562411732,Diamond 💎,3.69,5,23
0xabe5541bb7447ed4e11a2bafed1c815ac13d4970,99494.69719508063,Diamond 💎,3.63,5,24
0xe777c3db49e62aa87279e299ff4e62f25902c616,88298.3049277462,Diamond 💎,3.57,5,25
0x3fc0d527190d1c96659a79f40c715dc5c9022014,88279.38742820306,Diamond 💎,3.51,5,26
0x4d14d74c84dc509a405404c80992d58308e46608,88268.87770623465,Diamond 💎,3.45,5,27
0x50ae52d4ab077fbae07a320d2d7da9676ac4a73a,87764.00356965944,Diamond 💎,3.39,5,28
0x6af92b670a020041805cc2e188ebaff93d2da43a,87701.25125532482,Diamond 💎,3.33,5,29
0x5417a09e92e4a26abf6a44cdc104be87771233f5,87699.463447568,Diamond 💎,3.27,5,30
0xe4b59a1e2c647cb536c417c314fd901f611c10e1,87619.23182110656,Diamond 💎,3.22,5,31
0x14f4ac3a204e50aa59c62bff71bb95f50e0cfb66,87499.46075664932,Diamond 💎,3.16,5,32
0x49918faf3680a7d2eacc116d5c39ce5aad64ce9c,87434.9762421391,Diamond 💎,3.1,5,33
0xada7284c30a004c99f95ec6e6b20f68007bbe093,87369.1451419145,Diamond 💎,3.04,5,34
0x5aa92c63bfeef2c979a93d46579feccad67ac8a7,87357.58915504279,Diamond 💎,2.98,5,35
0x28a1c5270df5c9612736622d1605fb2bdb5abebd,87217.49940220398,Diamond 💎,2.92,5,36
0xbba9453e78617ec955d44148ed453a7e1a6cfa8f,87070.60732621305,Diamond 💎,2.86,5,37
0x89173d9bf8ccda0e84b35109b0a5cc2972a1a3ab,87047.86078507957,Diamond 💎,2.8,5,38
0xc4c0c31ce3d233ce9449150cc3a12e9c769cc2b3,87039.02286003658,Diamond 💎,2.74,5,39
0xac2dcd878bf447c3dd7f735e69af51ce8fd7bc7b,86796.42507783837,Diamond 💎,2.68,5,40
0x8aa14cfdb04fe4d80ea4e69d6170923ec08fffe3,86739.16009493932,Diamond 💎,2.62,5,41
0x0e44ad9a1d467438e699b808314ed357b7203a36,86723.32666941945,Diamond 💎,2.56,5,42
0xd47a9bb54e07a4f850ed10881f3e63734a1967eb,86660.4174100762,Diamond 💎,2.5,5,43
0x4886aa2b5d84312dd7993eaee29df0a74fd2402b,86658.97299172719,Diamond 💎,2.44,5,44
0x382667592043b4a9338da5840173c42f75b57417,86194.88927174859,Diamond 💎,2.38,5,45
0xcfc2fc23c980bec1e0665cd6cd481dd8a4b5fb1f,86187.36534551621,Diamond 💎,2.32,5,46
0x7aa1be3f5e9c5eac85128c1ebced5ad9f7c959ad,86115.16322469663,Diamond 💎,2.26,5,47
